Id,City,Locality,Total_Area,Price_per_SQFT,Price_in_Cr,Property_Type,BHK_Type,Baths,Balcony
107,Chennai,Chromepet,763,5240,0.4,Flat,2 BHK,2,No
108,Chennai,Tiruvottiyur,836,5380,0.45,Flat,2 BHK,3,No
109,Chennai,Nanganallur,518,7800,0.4,Flat,2 BHK,2,No
110,Chennai,Valasaravakkam,3500,8570,3,Independent House,6 BHK,4,Yes
111,Chennai,West Mambalam,620,9030,0.56,Flat,2 BHK,2,Yes
112,Chennai,Veppampattu,1000,3000,0.3,Villa,2 BHK,3,Yes
113,Chennai,T Nagar,1495,18390,2.75,Flat,3 BHK,3,No
114,Chennai,Kodambakkam,560,8040,0.45,Flat,2 BHK,2,Yes
115,Chennai,Madhavaram,831,5420,0.45,Flat,2 BHK,3,Yes
116,Chennai,Perambur,853,5860,0.5,Flat,2 BHK,3,Yes
117,Chennai,Velachery,994,6040,0.6,Flat,2 BHK,3,Yes
118,Chennai,Tiruvottiyur,1800,6110,1.1,Independent House,2 BHK,3,Yes
119,Chennai,Ayanavaram,547,7500,0.41,Flat,2 BHK,2,Yes
120,Chennai,Mylapore,730,6160,0.45,Flat,2 BHK,2,No
121,Chennai,West Tambaram,920,3590,0.33,Flat,2 BHK,3,Yes
122,Chennai,Koyambedu,1400,8210,1.15,Independent House,4 BHK,3,No
123,Chennai,Avadi,667,4800,0.32,Flat,2 BHK,2,No
124,Chennai,Veppampattu,1000,3900,0.39,Independent House,2 BHK,3,No
125,Chennai,Madipakkam,850,6410,0.54,Flat,2 BHK,3,Yes
126,Chennai,Kovilambakkam,951,4730,0.45,Flat,2 BHK,3,Yes
127,Chennai,Perumbakkam,1380,5580,0.77,Flat,3 BHK,3,Yes
128,Chennai,Saligramam,1196,9200,1.1,Flat,3 BHK,3,No
129,Chennai,Ambattur,4800,8750,4.2,Independent House,3 BHK,5,Yes
130,Chennai,Moolakazhani,690,5290,0.37,Flat,2 BHK,2,Yes
131,Chennai,Kolathur,982,6110,0.6,Flat,2 BHK,3,No
132,Chennai,Guduvancheri,600,6080,0.36,Independent House,2 BHK,2,No
133,Chennai,Pammal,770,3900,0.3,Flat,2 BHK,2,No
