Id,City,Locality,Total_Area,Price_per_SQFT,Price_in_Cr,Property_Type,BHK_Type,Baths,Balcony,City_Level_Annual_CAGR,Locality_Level_Annual_CAGR,CAGR_source,1yr_Forecast_PriceSQFT,2yr_Forecast_PriceSQFT,3yr_Forecast_PriceSQFT
47,Chennai,Vanagaram,1079,6020,0.65,Flat,2 BHK,3,Yes,0.0619,N/A,city,6392.64,6788.34,7208.54
48,Chennai,Jeth Nagar,1100,10910,1.2,Flat,2 BHK,3,Yes,0.0619,N/A,city,11585.33,12302.46,13063.98
49,Chennai,Madambakkam,1432,3910,0.56,Flat,3 BHK,3,Yes,0.0619,N/A,city,4152.03,4409.04,4681.96
50,Chennai,Urapakkam,932,4830,0.45,Flat,2 BHK,3,Yes,0.0619,N/A,city,5128.98,5446.46,5783.6
51,Chennai,Madambakkam,1500,3000,0.45,Independent House,3 BHK,3,Yes,0.0619,N/A,city,3185.7,3382.89,3592.3
52,Chennai,West Tambaram,1200,6250,0.75,Independent House,2 BHK,3,Yes,0.0619,N/A,city,6636.88,7047.7,7483.95
53,Chennai,Velachery,590,5420,0.32,Flat,1 BHK,2,Yes,0.0619,N/A,city,5755.5,6111.76,6490.08
54,Chennai,Sembakkam,1570,5410,0.85,Flat,4 BHK,3,Yes,0.0619,N/A,city,5744.88,6100.49,6478.11
55,Chennai,Medavakkam,808,4460,0.36,Flat,2 BHK,3,No,0.0619,N/A,city,4736.07,5029.24,5340.55
56,Chennai,Thiruvallur,1582,3160,0.5,Independent House,3 BHK,3,Yes,0.0619,N/A,city,3355.6,3563.32,3783.89
57,Chennai,Villivakkam,2400,9380,2.25,Independent House,4 BHK,4,Yes,0.0619,N/A,city,9960.62,10577.18,11231.91
58,Chennai,Raja Annamalai Puram,1350,11850,1.6,Flat,3 BHK,3,Yes,0.0619,N/A,city,12583.52,13362.43,14189.57
59,Chennai,Porur,1400,4640,0.65,Independent House,3 BHK,3,Yes,0.0619,N/A,city,4927.22,5232.21,5556.08
60,Chennai,Urapakkam,950,3370,0.32,Flat,2 BHK,3,No,0.0619,N/A,city,3578.6,3800.12,4035.35
61,Chennai,Puzhal,850,6470,0.55,Independent House,2 BHK,3,Yes,0.0619,N/A,city,6870.49,7295.78,7747.39
62,Chennai,Ramapuram,860,6280,0.54,Flat,2 BHK,3,No,0.0619,N/A,city,6668.73,7081.53,7519.87
63,Chennai,Velachery,1300,6080,0.79,Flat,3 BHK,3,Yes,0.0619,N/A,city,6456.35,6856,7280.39
64,Chennai,Raja Annamalai Puram,780,10900,0.85,Flat,2 BHK,2,No,0.0619,N/A,city,11574.71,12291.18,13052.01
65,Chennai,Ambattur,1100,6090,0.67,Independent House,2 BHK,3,No,0.0619,N/A,city,6466.97,6867.28,7292.36
66,Chennai,Adambakkam,1193,8300,0.99,Flat,3 BHK,3,No,0.0619,N/A,city,8813.77,9359.34,9938.69
67,Chennai,Kolathur,1350,8890,1.2,Independent House,3 BHK,3,No,0.0619,N/A,city,9440.29,10024.65,10645.17
68,Chennai,Perungudi,1200,6250,0.75,Flat,2 BHK,3,Yes,0.0619,N/A,city,6636.88,7047.7,7483.95
69,Chennai,Perambur,946,6660,0.63,Flat,2 BHK,3,No,0.0619,N/A,city,7072.25,7510.03,7974.9
70,Chennai,Anna Nagar West,1065,8260,0.88,Flat,3 BHK,3,Yes,0.0619,N/A,city,8771.29,9314.24,9890.79
71,Chennai,Mudichur,580,4630,0.27,Flat,1 BHK,2,Yes,0.0619,N/A,city,4916.6,5220.93,5544.11
72,Chennai,Sholinganallur,1160,5590,0.65,Flat,2 BHK,3,No,0.0619,N/A,city,5936.02,6303.46,6693.64
73,Chennai,Perumbakkam,1055,5500,0.58,Flat,2 BHK,3,Yes,0.0619,N/A,city,5840.45,6201.97,6585.88
74,Chennai,Vadapalani,1940,14180,2.75,Independent House,4 BHK,3,Yes,0.0619,N/A,city,15057.74,15989.82,16979.59
75,Chennai,Choolaimedu,938,9590,0.9,Flat,2 BHK,3,Yes,0.0619,N/A,city,10183.62,10813.99,11483.37
76,Chennai,Sembakkam,1712,6720,1.15,Flat,3 BHK,3,Yes,0.0619,N/A,city,7135.97,7577.68,8046.74
