Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Baths,Balcony
"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai","2 BHK Flat for sale in Adyar, Chennai",₹70.0 L,"Sai Dhanu Regency,Radhakrishnan Nagar, Adyar,Chennai",900,7780,3,Yes
Khurinji Zinnia,"1 BHK Flat for sale in West Tambaram, Chennai",₹26.0 L,"Meenakshi Avenue, West Tambaram,Chennai",537,4840,2,Yes
"Kottavakkam, Chennai","2 BHK Independent House for sale in Kottavakkam, Chennai",₹90.0 L,"Kottavakkam, Chennai",1292,6960,3,Yes
VGN Imperia Phase 3,"3 BHK Flat for sale in Thiruverkkadu, Chennai",₹54.0 L,"Arjunamedu, Thiruverkkadu,Chennai",1096,4930,3,No
"Bharathi Nagar, Ayanavaram,Chennai","4 BHK Independent House for sale in Ayanavaram, Chennai",₹2.4 Cr,"Bharathi Nagar, Ayanavaram,Chennai",2300,10430,4,Yes
"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai","1 BHK Flat for sale in Sembakkam, Chennai",₹29.0 L,"LIVEGREEN CONSTRUCTIONS,Sembakkam, Chennai",586,4950,2,No
Alliance Galleria Residences,"2 BHK Flat for sale in Old Pallavaram, Chennai",₹90.0 L,"Arulmurugan Nagar, Old Pallavaram,Chennai",1112,8090,3,No
"Veppampattu, Chennai","1 BHK Independent House for sale in Veppampattu, Chennai",₹24.8 L,"Veppampattu, Chennai",560,4430,2,Yes
"Shankar Nagar, Pammal,Chennai","2 BHK Flat for sale in Pammal, Chennai",₹37.0 L,"Shankar Nagar, Pammal,Chennai",856,4320,3,Yes
"Naveen vanagaram,Kanchuma Puram, Vanagaram ,Chennai","2 BHK Flat for sale in Vanagaram , Chennai",₹65.0 L,"Naveen vanagaram,Kanchuma Puram, Vanagaram ,Chennai",1079,6020,3,Yes
"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai","2 BHK Flat for sale in Jeth Nagar, Chennai",₹1.2 Cr,"LAND MARVEL KARPAGAMBAL,Jeth Nagar, Chennai",1100,10910,3,Yes
Krishna Apartment,"3 BHK Flat for sale in Madambakkam, Chennai",₹56.0 L,"Madambakkam, Chennai",1432,3910,3,Yes
Raghavendra Aishwaryam Flats,"2 BHK Flat for sale in Urapakkam, Chennai",₹45.0 L,"Urapakkam, Chennai",932,4830,3,Yes
"Madambakkam, Chennai","3 BHK Independent House for sale in Madambakkam, Chennai",₹45.0 L,"Madambakkam, Chennai",1500,3000,3,Yes
"Tambaram Mount, West Tambaram,Chennai","2 BHK Independent House for sale in West Tambaram, Chennai",₹75.0 L,"Tambaram Mount, West Tambaram,Chennai",1200,6250,3,Yes
"Building velachery ,Anna Nagar Extension, Velachery,Chennai","1 BHK Flat for sale in Velachery, Chennai",₹32.0 L,"Building velachery ,Anna Nagar Extension, Velachery,Chennai",590,5420,2,Yes
"Shri Vihar ,Sembakkam, Chennai","4 BHK Flat for sale in Sembakkam, Chennai",₹85.0 L,"Shri Vihar ,Sembakkam, Chennai",1570,5410,3,Yes
Indra Enclave,"2 BHK Flat for sale in Medavakkam, Chennai",₹36.0 L,"Krishnaveni Nagar, Medavakkam,Chennai",808,4460,3,No
"Ma. Po. Si. Nagar, Thiruvallur,Chennai","3 BHK Independent House for sale in Thiruvallur, Chennai",₹50.0 L,"Ma. Po. Si. Nagar, Thiruvallur,Chennai",1582,3160,3,Yes
"TNHB Colony, Villivakkam,Chennai","4 BHK Independent House for sale in Villivakkam, Chennai",₹2.25 Cr,"TNHB Colony, Villivakkam,Chennai",2400,9380,4,Yes
"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai","3 BHK Flat for sale in Raja Annamalai Puram, Chennai",₹1.6 Cr,"Anchorage,Mandavelipakkam, Raja Annamalai Puram,Chennai",1350,11850,3,Yes
"Kandasamy Nagar, Porur,Chennai","3 BHK Independent House for sale in Porur, Chennai",₹65.0 L,"Kandasamy Nagar, Porur,Chennai",1400,4640,3,Yes
"Viswas Castle,Urapakkam, Chennai","2 BHK Flat for sale in Urapakkam, Chennai",₹32.0 L,"Viswas Castle,Urapakkam, Chennai",950,3370,3,No
"Puzhal, Chennai","2 BHK Independent House for sale in Puzhal, Chennai",₹55.0 L,"Puzhal, Chennai",850,6470,3,Yes
"Venkateshwara Nagar, Ramapuram,Chennai","2 BHK Flat for sale in Ramapuram, Chennai",₹54.0 L,"Venkateshwara Nagar, Ramapuram,Chennai",860,6280,3,No
"Velachery, Chennai","3 BHK Flat for sale in Velachery, Chennai",₹79.0 L,"Velachery, Chennai",1300,6080,3,Yes
Jayam Villa,"2 BHK Flat for sale in Raja Annamalai Puram, Chennai",₹85.0 L,"Ramakrishna Nagar, Raja Annamalai Puram,Chennai",780,10900,2,No
"Kallikuppam, Ambattur,Chennai","2 BHK Independent House for sale in Ambattur, Chennai",₹67.0 L,"Kallikuppam, Ambattur,Chennai",1100,6090,3,No
"AGS Colony, Adambakkam,Chennai","3 BHK Flat for sale in Adambakkam, Chennai",₹99.0 L,"AGS Colony, Adambakkam,Chennai",1193,8300,3,No
"Lakshmipuram, Kolathur,Chennai","3 BHK Independent House for sale in Kolathur, Chennai",₹1.2 Cr,"Lakshmipuram, Kolathur,Chennai",1350,8890,3,No
"Veera Vanchinathan Nagar, Perungudi,Chennai","2 BHK Flat for sale in Perungudi, Chennai",₹75.0 L,"Veera Vanchinathan Nagar, Perungudi,Chennai",1200,6250,3,Yes
"Akshaya,Periyar Nagar, Perambur,Chennai","2 BHK Flat for sale in Perambur, Chennai",₹63.0 L,"Akshaya,Periyar Nagar, Perambur,Chennai",946,6660,3,No
Ben Le Orchard Apartments,"3 BHK Flat for sale in Anna Nagar West, Chennai",₹88.0 L,"Thirumangalam, Anna Nagar West,Chennai",1065,8260,3,Yes
