Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Baths,Balcony
"Hurulichikanahalli, Bangalore","2 BHK Independent House for sale in Hurulichikanahalli, Bangalore",₹52.0 L,"Hurulichikanahalli, Bangalore",1000,5200,3,Yes
"Bannerughatta, Bangalore","3 BHK Independent House for sale in Bannerughatta, Bangalore",₹1.4 Cr,"Bannerughatta, Bangalore",2100,6670,4,Yes
"Maruthi Extension, Malur,Bangalore","3 BHK Independent House for sale in Malur, Bangalore",₹75.0 L,"Maruthi Extension, Malur,Bangalore",2150,3490,4,Yes
"Residential Property,Kamakshipalya, Bangalore","1 RK Flat for sale in Kamakshipalya, Bangalore",₹95.0 L,"Residential Property,Kamakshipalya, Bangalore",1200,7920,3,Yes
"Seeghehalli, Krishnarajapura,Bangalore","3 BHK Independent House for sale in Krishnarajapura, Bangalore",₹1.05 Cr,"Seeghehalli, Krishnarajapura,Bangalore",2300,4570,4,Yes
"Koramangala, Bangalore","2 BHK Independent House for sale in Koramangala, Bangalore",₹3.0 Cr,"Koramangala, Bangalore",1000,30000,3,Yes
"Doddigunta, Cox Town,Bangalore","3 BHK Independent House for sale in Cox Town, Bangalore",₹1.95 Cr,"Doddigunta, Cox Town,Bangalore",1260,15480,3,No
"Kodathi, Bangalore","3 BHK Flat for sale in Kodathi, Bangalore",₹85.0 L,"Kodathi, Bangalore",1360,6250,3,No
"Kithaganur Colony, Bangalore","2 BHK Independent House for sale in Kithaganur Colony, Bangalore",₹80.0 L,"Kithaganur Colony, Bangalore",1000,8000,3,Yes
"Metro Lay Out, Nayandahalli,Bangalore","10 BHK Independent House for sale in Nayandahalli, Bangalore",₹1.9 Cr,"Metro Lay Out, Nayandahalli,Bangalore",4500,4220,5,Yes
"Slv bett,Bettadasanapura, Bangalore","2 BHK Flat for sale in Bettadasanapura, Bangalore",₹38.0 L,"Slv bett,Bettadasanapura, Bangalore",920,4130,3,Yes
Keya The Green Terraces,"1 BHK Flat for sale in Bommasandra, Bangalore",₹45.0 L,"Madagondanahalli, Bommasandra,Bangalore",730,6160,2,No
"Soppahalli, Bangalore","2 BHK Villa for sale in Soppahalli, Bangalore",₹36.9 L,"Soppahalli, Bangalore",900,4100,3,Yes
"BEML Layout, RR Nagar,Bangalore","5 BHK Independent House for sale in RR Nagar, Bangalore",₹4.3 Cr,"BEML Layout, RR Nagar,Bangalore",5800,7410,5,Yes
"RR nagar club house ,RR Nagar, Bangalore","4 BHK Independent House for sale in RR Nagar, Bangalore",₹4.3 Cr,"RR nagar club house ,RR Nagar, Bangalore",5400,7960,5,Yes
"Brigade El Dorado,BEML Layout, Bagalur,Bangalore","3 BHK Flat for sale in Bagalur, Bangalore",₹56.0 L,"Brigade El Dorado,BEML Layout, Bagalur,Bangalore",1068,5240,3,Yes
"Sarjapur Road ,Sarjapur, Bangalore","2 BHK Flat for sale in Sarjapur, Bangalore",₹61.0 L,"Sarjapur Road ,Sarjapur, Bangalore",1068,5710,3,Yes
"Stage 2, BTM Layout,Bangalore","7 BHK Independent House for sale in BTM Layout, Bangalore",₹1.65 Cr,"Stage 2, BTM Layout,Bangalore",3900,4230,5,Yes
"Doddanekundi, Kartik Nagar,Bangalore","4 BHK Independent House for sale in Kartik Nagar, Bangalore",₹1.45 Cr,"Doddanekundi, Kartik Nagar,Bangalore",2500,5800,4,Yes
"Byregowda Layout, Annapurneshwari Nagar,Bangalore","2 BHK Independent House for sale in Annapurneshwari Nagar, Bangalore",₹95.0 L,"Byregowda Layout, Annapurneshwari Nagar,Bangalore",1064,8930,3,No
"RT Nager, Bangalore","6 BHK Independent House for sale in RT Nager, Bangalore",₹4.0 Cr,"RT Nager, Bangalore",4000,10000,5,Yes
"Devasandra, Mathikere,Bangalore","6 BHK Independent House for sale in Mathikere, Bangalore",₹2.8 Cr,"Devasandra, Mathikere,Bangalore",2800,10000,4,Yes
"Patalamma Layout ,Kadugodi, Bangalore","4 BHK Independent House for sale in Kadugodi, Bangalore",₹89.0 L,"Patalamma Layout ,Kadugodi, Bangalore",2200,4040,4,Yes
"Abhee Prakruthi Villa,Teachers Colony, Chandapura,Bangalore","3 BHK Villa for sale in Chandapura, Bangalore",₹1.12 Cr,"Abhee Prakruthi Villa,Teachers Colony, Chandapura,Bangalore",2225,5030,4,Yes
"Abhee Prakruthi Villa ,Teachers Colony, Chandapura,Bangalore","3 BHK Villa for sale in Chandapura, Bangalore",₹1.49 Cr,"Abhee Prakruthi Villa ,Teachers Colony, Chandapura,Bangalore",2700,5520,4,Yes
"Abhee Prakruthi Villa ,Teachers Colony, Chandapura,Bangalore","3 BHK Villa for sale in Chandapura, Bangalore",₹1.29 Cr,"Abhee Prakruthi Villa ,Teachers Colony, Chandapura,Bangalore",2331,5530,4,Yes
"Abhee Nakshatra ,Sarjapur, Bangalore","2 BHK Flat for sale in Sarjapur, Bangalore",₹75.0 L,"Abhee Nakshatra ,Sarjapur, Bangalore",1229,6100,3,No
Abhee Prakruthi Villa,"4 BHK Villa for sale in Chandapura, Bangalore",₹1.91 Cr,"Terracon Doctors Enclave, Chandapura,Bangalore",3500,5460,6,Yes
"Srinivasa Nagar, Banashankari,Bangalore","2 BHK Flat for sale in Banashankari, Bangalore",₹51.0 L,"Srinivasa Nagar, Banashankari,Bangalore",974,5240,3,Yes
"Soppahalli, Bangalore","2 BHK Villa for sale in Soppahalli, Bangalore",₹36.9 L,"Soppahalli, Bangalore",800,4610,2,No
"Soppahalli, Bangalore","2 BHK Villa for sale in Soppahalli, Bangalore",₹36.9 L,"Soppahalli, Bangalore",850,4340,3,Yes
"Sulthangunta, Shivaji Nagar,Bangalore","4 BHK Independent House for sale in Shivaji Nagar, Bangalore",₹3.6 Cr,"Sulthangunta, Shivaji Nagar,Bangalore",1700,21180,3,Yes
"Electronic City ,Veer Sandra, Electronic City,Bangalore","3 BHK Independent House for sale in Electronic City, Bangalore",₹1.12 Cr,"Electronic City ,Veer Sandra, Electronic City,Bangalore",2225,5030,4,Yes
"Abhee Prakruthi Villa ,Teachers Colony, Chandapura,Bangalore","3 BHK Villa for sale in Chandapura, Bangalore",₹1.12 Cr,"Abhee Prakruthi Villa ,Teachers Colony, Chandapura,Bangalore",2225,5030,4,Yes
"Abhee Nakshatra ,Sarjapur, Bangalore","2 BHK Flat for sale in Sarjapur, Bangalore",₹72.0 L,"Abhee Nakshatra ,Sarjapur, Bangalore",1145,6290,3,Yes
"Nagaland Colony, Doddabommasandra,Bangalore","3 BHK Flat for sale in Doddabommasandra, Bangalore",₹62.0 L,"Nagaland Colony, Doddabommasandra,Bangalore",1250,4960,3,Yes
"Chiranjeevi Layout, Hebbal Kempapura,Bangalore","2 BHK Independent House for sale in Hebbal Kempapura, Bangalore",₹2.45 Cr,"Chiranjeevi Layout, Hebbal Kempapura,Bangalore",1200,20420,3,Yes
Manito Eshanya,"2 BHK Flat for sale in Doddajala, Bangalore",₹46.0 L,"Doddajala, Bangalore",905,5080,3,Yes
"Sector 3, HSR Layout,Bangalore","2 BHK Flat for sale in HSR Layout, Bangalore",₹58.0 L,"Sector 3, HSR Layout,Bangalore",1066,5440,3,Yes
"Sector 3, HSR Layout,Bangalore","2 BHK Flat for sale in HSR Layout, Bangalore",₹58.0 L,"Sector 3, HSR Layout,Bangalore",1066,5440,3,No
Kristal Campus 10,"4 BHK Villa for sale in Chikkadunnasandra, Bangalore",₹2.5 Cr,"Chikkadunnasandra, Bangalore",1710,14620,3,Yes
"Bannerughatta, Bangalore","3 BHK Villa for sale in Bannerughatta, Bangalore",₹35.99 L,"Bannerughatta, Bangalore",1200,3000,3,No
"Bangalore City Municipal Corporation Layout, Bangalore","2 BHK Independent House for sale in Bangalore City Municipal Corporation Layout, Bangalore",₹1.8 Cr,"Bangalore City Municipal Corporation Layout, Bangalore",1000,18000,3,Yes
"Anepalya, Neelasandra,Bangalore","2 BHK Independent House for sale in Neelasandra, Bangalore",₹16.0 L,"Anepalya, Neelasandra,Bangalore",600,2670,2,No
Pyramid Carnations,"2 BHK Flat for sale in Yelahanka, Bangalore",₹53.0 L,"Avalahalli - Yelahanka, Yelahanka,Bangalore",1114,4760,3,No
"Dream home dodbomsandara ,Nagaland Colony, Doddabommasandra,Bangalore","3 BHK Flat for sale in Doddabommasandra, Bangalore",₹60.0 L,"Dream home dodbomsandara ,Nagaland Colony, Doddabommasandra,Bangalore",1250,4800,3,Yes
Unitech Heritage Estate,"3 BHK Flat for sale in Yelahanka, Bangalore",₹1.15 Cr,"Yelahanka, Bangalore",2500,4600,4,Yes
VBHC Palmhaven,"1 BHK Flat for sale in Byagadadhenahalli, Bangalore",₹25.0 L,"Byagadadhenahalli, Bangalore",620,4030,2,No
"Veer Sandra, Electronic City,Bangalore","3 BHK Villa for sale in Electronic City, Bangalore",₹1.14 Cr,"Veer Sandra, Electronic City,Bangalore",2225,5120,4,Yes
"Belur Nagasandra, Bellandur,Bangalore","2 BHK Flat for sale in Bellandur, Bangalore",₹77.0 L,"Belur Nagasandra, Bellandur,Bangalore",1229,6260,3,No
Pruthvi Royal by Pruthvi Builders and Developers,"2 BHK Flat for sale in Bannerughatta, Bangalore",₹50.0 L,"Bannerughatta, Bangalore",1198,4170,3,Yes
"Lakshmi perl,Vidyapeeta Circle, Banashankari,Bangalore","3 BHK Flat for sale in Banashankari, Bangalore",₹87.0 L,"Lakshmi perl,Vidyapeeta Circle, Banashankari,Bangalore",1250,6960,3,Yes
"Margondanahalli, Bangalore","2 BHK Independent House for sale in Margondanahalli, Bangalore",₹70.0 L,"Margondanahalli, Bangalore",900,7780,3,Yes
"2 Stage, Uttarahalli Hobli,Bangalore","4 BHK Independent House for sale in Uttarahalli Hobli, Bangalore",₹1.7 Cr,"2 Stage, Uttarahalli Hobli,Bangalore",1200,14170,3,Yes
"RT Nager, Bangalore","3 BHK Flat for sale in RT Nager, Bangalore",₹96.0 L,"RT Nager, Bangalore",1200,8000,3,No
"Vijay res,Brindavan Layout, Battarahalli,Bangalore","2 BHK Flat for sale in Battarahalli, Bangalore",₹32.5 L,"Vijay res,Brindavan Layout, Battarahalli,Bangalore",650,5000,2,Yes
Shettys Nagarbhavi Marvel,"8 BHK Independent House for sale in Annapurneshwari Nagar, Bangalore",₹1.92 Cr,"Annapurneshwari Nagar, Bangalore",3500,5490,5,Yes
Brigade Parkside North,"1 BHK Flat for sale in Abbigere, Bangalore",₹47.0 L,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",711,6610,2,No
"Lingadheeranahalli, Bangalore","2 BHK Independent House for sale in Lingadheeranahalli, Bangalore",₹1.2 Cr,"Lingadheeranahalli, Bangalore",1200,10000,3,No
"Stage 2, Nagarbhavi,Bangalore","5 BHK Independent House for sale in Nagarbhavi, Bangalore",₹4.15 Cr,"Stage 2, Nagarbhavi,Bangalore",5100,8140,5,Yes
NS Paradise,"4 BHK Villa for sale in Krishnarajapura, Bangalore",₹1.4 Cr,"Kadugodi, Krishnarajapura,Bangalore",2300,6090,4,Yes
"Devanahalli, Bangalore","3 BHK Independent House for sale in Devanahalli, Bangalore",₹78.0 L,"Devanahalli, Bangalore",1800,4330,3,Yes
"Bannerughatta, Bangalore","2 BHK Flat for sale in Bannerughatta, Bangalore",₹57.0 L,"Bannerughatta, Bangalore",1118,5100,3,Yes
Trails,"2 BHK Flat for sale in Srinivaspur, Bangalore",₹38.0 L,"Srinivaspur, Bangalore",1050,3620,3,No
"Bidare Agraha, Bangalore","2 BHK Independent House for sale in Bidare Agraha, Bangalore",₹50.0 L,"Bidare Agraha, Bangalore",550,9090,2,Yes
Sri Gayatri Curio,"5 BHK Flat for sale in Indira Nagar, Bangalore",₹2.2 Cr,"Indira Nagar, Bangalore",2435,9030,4,Yes
Provident Welworth City by Provident Housing Limited,"3 BHK Flat for sale in Yelahanka, Bangalore",₹42.0 L,"Yelahanka, Bangalore",1180,3560,3,No
"S R Flora Apartment Mico layout Begur main road ,Hongasandra, Bangalore","1 BHK Flat for sale in Hongasandra, Bangalore",₹37.0 L,"S R Flora Apartment Mico layout Begur main road ,Hongasandra, Bangalore",715,5170,2,No
"Yelahanka Airforce Base, Yelahanka,Bangalore","3 BHK Independent House for sale in Yelahanka, Bangalore",₹95.0 L,"Yelahanka Airforce Base, Yelahanka,Bangalore",1330,7140,3,Yes
"Yelahanka Airforce Base, Yelahanka,Bangalore","2 BHK Independent House for sale in Yelahanka, Bangalore",₹85.0 L,"Yelahanka Airforce Base, Yelahanka,Bangalore",1231,6900,3,No
Sri Nipuna Heritage,"3 BHK Flat for sale in Virupakshapura, Bangalore",₹70.0 L,"Maruthi Layout, Virupakshapura,Bangalore",1915,3650,3,Yes
Abhee Nakshatra,"2 BHK Flat for sale in Sarjapur, Bangalore",₹78.0 L,"Sarjapur, Bangalore",1225,6370,3,Yes
"Rayasandra, Bangalore","2 BHK Independent House for sale in Rayasandra, Bangalore",₹41.99 L,"Rayasandra, Bangalore",850,4940,3,Yes
"Sanjay Nagar, Marathahalli,Bangalore","7 BHK Independent House for sale in Marathahalli, Bangalore",₹2.6 Cr,"Sanjay Nagar, Marathahalli,Bangalore",4200,6190,5,Yes
"Maruti Housing Society Layout, Subramanyapura,Bangalore","2 BHK Independent House for sale in Subramanyapura, Bangalore",₹68.0 L,"Maruti Housing Society Layout, Subramanyapura,Bangalore",1200,5670,3,No
"Mattanahalli, Bangalore","3 BHK Independent House for sale in Mattanahalli, Bangalore",₹75.0 L,"Mattanahalli, Bangalore",800,9380,5,No
Crystal,"1 BHK Flat for sale in Banashankari, Bangalore",₹68.0 L,"Kathriguppe, Banashankari,Bangalore",1200,5670,3,No
"Peenya III Phase, Peenya,Bangalore","10 BHK Independent House for sale in Peenya, Bangalore",₹1.4 Cr,"Peenya III Phase, Peenya,Bangalore",4000,3500,2,Yes
"6 Block, Rajajinagar,Bangalore","2 BHK Independent House for sale in Rajajinagar, Bangalore",₹1.5 Cr,"6 Block, Rajajinagar,Bangalore",2000,7500,1,Yes
"AR Orchid Spring,Chelekare, Hennur,Bangalore","2 BHK Flat for sale in Hennur, Bangalore",₹40.0 L,"AR Orchid Spring,Chelekare, Hennur,Bangalore",965,4140,3,No
"RR Nagar, Bangalore","4 BHK Villa for sale in RR Nagar, Bangalore",₹2.85 Cr,"RR Nagar, Bangalore",4400,6480,5,Yes
"Badamanavarthekaval, Bangalore","3 BHK Independent House for sale in Badamanavarthekaval, Bangalore",₹1.2 Cr,"Badamanavarthekaval, Bangalore",1800,6670,3,Yes
"Bannerughatta, Bangalore","1 BHK Independent House for sale in Bannerughatta, Bangalore",₹24.0 L,"Bannerughatta, Bangalore",550,4360,2,No
"Kaval Bairasandra, Bangalore","6 BHK Independent House for sale in Kaval Bairasandra, Bangalore",₹2.1 Cr,"Kaval Bairasandra, Bangalore",3600,5830,4,Yes
Sri bhagwan arcade,"2 BHK Flat for sale in RMV Extension Stage 2, Bangalore",₹1.55 Cr,"Venkatachary Nagar, RMV Extension Stage 2,Bangalore",1120,13840,3,Yes
"Ragavendra Industrial Estate, Bangalore","2 BHK Independent House for sale in Ragavendra Industrial Estate, Bangalore",₹45.0 L,"Ragavendra Industrial Estate, Bangalore",400,11250,2,Yes
"Koti Hosahalli, Bangalore","4 BHK Independent House for sale in Koti Hosahalli, Bangalore",₹1.2 Cr,"Koti Hosahalli, Bangalore",2800,4290,4,Yes
"OMBR Layout, Banaswadi,Bangalore","5 BHK Independent House for sale in Banaswadi, Bangalore",₹2.6 Cr,"OMBR Layout, Banaswadi,Bangalore",2700,9630,4,Yes
Sobha Garrison,"3 BHK Flat for sale in Nagasandra, Bangalore",₹1.3 Cr,"Nagasandra, Bangalore",1680,7740,3,Yes
"Attibele, Bangalore","4 BHK Independent House for sale in Attibele, Bangalore",₹80.0 L,"Attibele, Bangalore",2500,3200,4,Yes
"Kyalasanahalli, Bangalore","2 BHK Independent House for sale in Kyalasanahalli, Bangalore",₹45.0 L,"Kyalasanahalli, Bangalore",600,7500,2,No
"Sidhartha Nagar, Cottonpet,Bangalore","10.5 BHK Independent House for sale in Cottonpet, Bangalore",₹3.2 Cr,"Sidhartha Nagar, Cottonpet,Bangalore",4000,8000,3,Yes
AR Avenue by AR Builders And Developer,"3 BHK Flat for sale in Wilson Garden, Bangalore",₹1.0 Cr,"Chinnayanpalya, Wilson Garden,Bangalore",1700,5880,3,Yes
Janapriya Township Flat Owners Association by Janapriya Engineers Syndicate,"2 BHK Flat for sale in Kadabagere, Bangalore",₹14.5 L,"Kadabagere, Bangalore",675,2150,2,Yes
"Kammasandra, Bangalore","3 BHK Independent House for sale in Kammasandra, Bangalore",₹66.0 L,"Kammasandra, Bangalore",1200,5500,3,No
Sumuka Residency,"1 RK Flat for sale in Akshayanagar, Bangalore",₹40.0 L,"Akshayanagara East, Akshayanagar,Bangalore",600,6670,2,Yes
Candeur Signature,"3 BHK Flat for sale in Gunjur, Bangalore",₹1.24 Cr,"Gunjur, Bangalore",1545,8000,3,Yes
"Suryanagar, Bommasandra,Bangalore","2 BHK Independent House for sale in Bommasandra, Bangalore",₹45.0 L,"Suryanagar, Bommasandra,Bangalore",1200,3750,3,Yes
"GITANJALI,Ramanagara, Bangalore","3 BHK Flat for sale in Ramanagara, Bangalore",₹68.0 L,"GITANJALI,Ramanagara, Bangalore",1315,5170,3,No
"Srinivasa Nagar, Banashankari,Bangalore","8 BHK Independent House for sale in Banashankari, Bangalore",₹1.75 Cr,"Srinivasa Nagar, Banashankari,Bangalore",4000,4380,3,Yes
"Sri Sai Nilayam,Keshava Nagar, Kacharakanahalli,Bangalore","5 BHK Independent House for sale in Kacharakanahalli, Bangalore",₹72.0 L,"Sri Sai Nilayam,Keshava Nagar, Kacharakanahalli,Bangalore",2000,3600,4,Yes
"Mohammed Sab Palya, Vidyaranyapura,Bangalore","2 BHK Independent House for sale in Vidyaranyapura, Bangalore",₹1.2 Cr,"Mohammed Sab Palya, Vidyaranyapura,Bangalore",2144,5600,4,Yes
"YMR Multi S,Stage 2, BTM Layout,Bangalore","2 BHK Flat for sale in BTM Layout, Bangalore",₹78.0 L,"YMR Multi S,Stage 2, BTM Layout,Bangalore",1000,7800,3,No
DS Max Sprint by DS-MAX Properties Private Limited,"3 BHK Flat for sale in Kaval Bairasandra, Bangalore",₹70.0 L,"Kaval Bairasandra, Bangalore",1450,4830,3,Yes
"Dr.Shivaram Karanth Nagar, Jakkur,Bangalore","2 BHK Independent House for sale in Jakkur, Bangalore",₹3.55 Cr,"Dr.Shivaram Karanth Nagar, Jakkur,Bangalore",5200,6830,5,Yes
"Stage 1, BTM Layout,Bangalore","3 BHK Independent House for sale in BTM Layout, Bangalore",₹2.1 Cr,"Stage 1, BTM Layout,Bangalore",1200,17500,3,Yes
"HAL Airport Area, HAL,Bangalore","2 BHK Independent House for sale in HAL, Bangalore",₹45.0 L,"HAL Airport Area, HAL,Bangalore",1600,2810,3,No
"Papanahalli, Bangalore","2 BHK Independent House for sale in Papanahalli, Bangalore",₹58.4 L,"Papanahalli, Bangalore",800,7300,1,Yes
"Mavalli, Bangalore","1 BHK Independent House for sale in Mavalli, Bangalore",₹1.6 Cr,"Mavalli, Bangalore",828,19320,3,Yes
Kengeri Satellite Club,"2 BHK Independent House for sale in Kengeri Satellite Town, Bangalore",₹62.4 L,"BSM Extension, Kengeri Satellite Town,Bangalore",1200,5200,3,Yes
"Sunkadakatte, Bangalore","3 BHK Independent House for sale in Sunkadakatte, Bangalore",₹62.0 L,"Sunkadakatte, Bangalore",840,7380,3,Yes
"Basaveshwara Nagar Yelahanka, Nehru Nagar,Bangalore","2 BHK Independent House for sale in Nehru Nagar, Bangalore",₹77.0 L,"Basaveshwara Nagar Yelahanka, Nehru Nagar,Bangalore",650,11850,2,Yes
DS Max Sprint by DS-MAX Properties Private Limited,"3 BHK Flat for sale in Kaval Bairasandra, Bangalore",₹70.0 L,"Kaval Bairasandra, Bangalore",1500,4670,3,Yes
"Sidedahalli, Bangalore","2 BHK Independent House for sale in Sidedahalli, Bangalore",₹85.0 L,"Sidedahalli, Bangalore",2400,3540,4,Yes
Shakthi Highlands Wing 3,"3 BHK Flat for sale in Krishnarajapura, Bangalore",₹68.0 L,"Krishnarajapura, Bangalore",1500,4530,3,No
"Krishna kuteera ,Saraswathi Nagar, Vijayanagar,Bangalore","2 BHK Flat for sale in Vijayanagar, Bangalore",₹40.0 L,"Krishna kuteera ,Saraswathi Nagar, Vijayanagar,Bangalore",450,8890,2,No
"Inasappa Layout, Kammanahalli,Bangalore","4 BHK Independent House for sale in Kammanahalli, Bangalore",₹3.75 Cr,"Inasappa Layout, Kammanahalli,Bangalore",3000,12500,1,Yes
"Nagasandra, Bangalore","6 BHK Independent House for sale in Nagasandra, Bangalore",₹85.0 L,"Nagasandra, Bangalore",3000,2830,3,Yes
"Bidrahalli, Bangalore","3 BHK Independent House for sale in Bidrahalli, Bangalore",₹58.0 L,"Bidrahalli, Bangalore",1200,4830,3,Yes
"Kommaghatta, Bangalore","2 BHK Independent House for sale in Kommaghatta, Bangalore",₹1.1 Cr,"Kommaghatta, Bangalore",1200,9170,3,No
"No 48,Rayapuram, Jagajeevanram Nagar,Bangalore","1 BHK Independent House for sale in Jagajeevanram Nagar, Bangalore",₹70.0 L,"No 48,Rayapuram, Jagajeevanram Nagar,Bangalore",500,14000,2,No
"Bommanahalli, Bangalore","1.5 BHK Flat for sale in Bommanahalli, Bangalore",₹2.5 Cr,"Bommanahalli, Bangalore",7800,3210,2,Yes
"Marilingappa Extension, Nagarbhavi,Bangalore","6 BHK Independent House for sale in Nagarbhavi, Bangalore",₹95.0 L,"Marilingappa Extension, Nagarbhavi,Bangalore",4560,2080,5,Yes
BVR Apartment,"3 BHK Flat for sale in Vidyaranyapura, Bangalore",₹2.2 Cr,"Vidyaranyapura, Bangalore",2100,10480,4,Yes
'Multi' Apartment complex,"2 BHK Flat for sale in RMV Extension Stage 2, Bangalore",₹32.0 L,"Nagashetty Halli, RMV Extension Stage 2,Bangalore",850,3760,3,Yes
"Hanumanthapura, Bangalore","2 BHK Independent House for sale in Hanumanthapura, Bangalore",₹2.2 Cr,"Hanumanthapura, Bangalore",1200,18330,3,Yes
"Stage 2, Kumaraswamy Layout,Bangalore","1 BHK Independent House for sale in Kumaraswamy Layout, Bangalore",₹1.25 Cr,"Stage 2, Kumaraswamy Layout,Bangalore",500,25000,2,No
"M Vishveshvaraiah Nagar, Ramamurthy Nagar,Bangalore","9 BHK Independent House for sale in Ramamurthy Nagar, Bangalore",₹1.75 Cr,"M Vishveshvaraiah Nagar, Ramamurthy Nagar,Bangalore",3500,5000,4,Yes
"Kothanur, Bangalore","10 BHK Independent House for sale in Kothanur, Bangalore",₹2.5 Cr,"Kothanur, Bangalore",5300,4720,5,Yes
"Full building,Bannerughatta, Bangalore","1 BHK Flat for sale in Bannerughatta, Bangalore",₹1.1 Cr,"Full building,Bannerughatta, Bangalore",1000,11000,3,No
"Bhuvaneshwari Nagar, Hebbal Kempapura,Bangalore","4 BHK Independent House for sale in Hebbal Kempapura, Bangalore",₹2.0 Cr,"Bhuvaneshwari Nagar, Hebbal Kempapura,Bangalore",1300,15380,3,No
"MB Residency,Yelenahalli, Akshayanagar,Bangalore","1 BHK Flat for sale in Akshayanagar, Bangalore",₹23.0 L,"MB Residency,Yelenahalli, Akshayanagar,Bangalore",576,3990,2,No
"samitha oak,Chinnapa Garden, Benson Town,Bangalore","4 BHK Flat for sale in Benson Town, Bangalore",₹2.5 Cr,"samitha oak,Chinnapa Garden, Benson Town,Bangalore",2615,9560,4,Yes
"Singapura Village, Varadharaja Nagar,Bangalore","3 BHK Flat for sale in Varadharaja Nagar, Bangalore",₹55.0 L,"Singapura Village, Varadharaja Nagar,Bangalore",1350,4070,3,No
"Devanahalli, Bangalore","7 BHK Villa for sale in Devanahalli, Bangalore",₹8.0 Cr,"Devanahalli, Bangalore",5000,16000,5,Yes
"Kothanur, Bangalore","10.5 BHK Independent House for sale in Kothanur, Bangalore",₹2.8 Cr,"Kothanur, Bangalore",5500,5090,5,Yes
"Suryanagar, Bommasandra,Bangalore","2 BHK Flat for sale in Bommasandra, Bangalore",₹77.0 L,"Suryanagar, Bommasandra,Bangalore",1229,6260,3,Yes
"Nallurhalli, Whitefield,Bangalore","3 BHK Villa for sale in Whitefield, Bangalore",₹6.0 Cr,"Nallurhalli, Whitefield,Bangalore",3859,15550,1,Yes
Prabhavathi Divine,"1 BHK Flat for sale in Hulimavu, Bangalore",₹24.75 L,"Rukmaiah Layout, Hulimavu,Bangalore",500,4950,2,No
Pyramid,"2 BHK Flat for sale in Yelahanka, Bangalore",₹50.0 L,"Yelahanka, Bangalore",907,5510,3,Yes
"7th Phase, JP Nagar,Bangalore","4 BHK Independent House for sale in JP Nagar, Bangalore",₹4.0 Cr,"7th Phase, JP Nagar,Bangalore",3050,13110,1,Yes
BDA Jnanabharathi Enclave,"1 BHK Flat for sale in Kengeri Satellite Town, Bangalore",₹21.0 L,"Harsha Layout, Kengeri Satellite Town,Bangalore",430,4880,2,No
Upkar Spring Fields by Upkar Developers,"2 BHK Flat for sale in Mattanahalli, Bangalore",₹65.0 L,"Mattanahalli, Bangalore",1150,5650,3,No
"Padmanabhanagar, Bangalore","10 BHK Independent House for sale in Padmanabhanagar, Bangalore",₹3.3 Cr,"Padmanabhanagar, Bangalore",5000,6600,5,Yes
"Devarachikkana Halli, Bangalore","1 BHK Independent House for sale in Devarachikkana Halli, Bangalore",₹90.0 L,"Devarachikkana Halli, Bangalore",788,11420,2,No
"Venus county,Haragadde, Bangalore","10 BHK Independent House for sale in Haragadde, Bangalore",₹5.0 L,"Venus county,Haragadde, Bangalore",1980,252000,3,Yes
"Stage 2, BTM Layout,Bangalore","10 BHK Independent House for sale in BTM Layout, Bangalore",₹2.35 Cr,"Stage 2, BTM Layout,Bangalore",4050,5800,5,Yes
"Nageshwara nagenahalli,Nagenahalli, Bangalore","2 BHK Flat for sale in Nagenahalli, Bangalore",₹2.4 Cr,"Nageshwara nagenahalli,Nagenahalli, Bangalore",1500,16000,3,No
"Near Bhavani Industrial,Electronic City Phase II, Bangalore","4 BHK Independent House for sale in Electronic City Phase II, Bangalore",₹1.6 Cr,"Near Bhavani Industrial,Electronic City Phase II, Bangalore",1200,13330,3,No
Krishna Wilson Vintage by Sai Krishna Constructions,"2 BHK Flat for sale in Wilson Garden, Bangalore",₹80.0 L,"Chinnayanpalya, Wilson Garden,Bangalore",1050,7620,3,Yes
"Rayasandra, Bangalore","2 BHK Independent House for sale in Rayasandra, Bangalore",₹42.0 L,"Rayasandra, Bangalore",1200,3500,3,No
Krishna Wilson Vintage by Sai Krishna Constructions,"2 BHK Flat for sale in Wilson Garden, Bangalore",₹80.0 L,"Chinnayanpalya, Wilson Garden,Bangalore",1050,7620,3,Yes
"Kadabagere, Bangalore","9 BHK Independent House for sale in Kadabagere, Bangalore",₹1.25 Cr,"Kadabagere, Bangalore",4500,2780,5,Yes
CoEvolve Asset Elvira,"3 BHK Flat for sale in Gopasandra, Bangalore",₹65.0 L,"Gopasandra, Bangalore",1327,4900,3,Yes
Regal Prelude by Regal Urban,"2 BHK Flat for sale in Hampapura, Bangalore",₹85.0 L,"Hampapura, Bangalore",1432,5930,3,Yes
"Saraswathi Nagar, Vijayanagar,Bangalore","2 BHK Independent House for sale in Vijayanagar, Bangalore",₹1.3 Cr,"Saraswathi Nagar, Vijayanagar,Bangalore",600,21670,2,No
"HRBR Layout, Kalyan Nagar,Bangalore","2 BHK Independent House for sale in Kalyan Nagar, Bangalore",₹2.5 Cr,"HRBR Layout, Kalyan Nagar,Bangalore",1600,15630,3,No
